Kilometres,Body,Seats,Fuel type,Transmission,Model detail,location,item_url,is_import,enginesize,price,district,city
48500.0,"SILVER, RV/SUV",5.0,Petrol,Automatic,All-4 Cooper S,"Hamilton, Waikato, NZ",https://www.trademe.co.nz/motors/used-cars/mini/auction-2056687651.htm?rsqid=dc556dc843e247439a6079177352acb1-001,,1598.0,26990.0, Waikato,Hamilton
27509.0,"Black, Hatchback",,Petrol,Automatic,A250 Sport NZ NEW!! SPORT 1 OWNER NZ NEW PANO ROOF,"North Shore, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/mercedesbenz/auction-2047641255.htm?rsqid=d836209d01b24c87947792f1c6469ac9-001,,1991.0,46990.0, Auckland,North Shore
57320.0,"Grey, 4 door, Hatchback",5.0,Petrol,Automatic,Sportback T Fsi,"Christchurch City, Canterbury, NZ",https://www.trademe.co.nz/motors/used-cars/audi/auction-2058987957.htm?rsqid=05cbfa53c672463aa78b4ea50b983640-001,"2 owners, NZ New",,12750.0, Canterbury,Christchurch City
28890.0,"Silver, 5 door, Hatchback",5.0,Petrol,Automatic,LX,"North Shore, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/kia/auction-2152049093.htm?rsqid=8505a6ba1dc84f049960c6be256f893b-001,,1998.0,15750.0, Auckland,North Shore
50121.0,"White, Ute",5.0,Diesel,Manual,,"Palmerston North, Manawatu, NZ",https://www.trademe.co.nz/motors/used-cars/foton/auction-2156868233.htm?rsqid=5944f9b07d994274bd160adcc32abd62-001,,2776.0,16800.0, Manawatu,Palmerston North
167000.0,"Black, Sedan",5.0,Petrol,Automatic,Omega,"Whakatane, Bay of Plenty, NZ",https://www.trademe.co.nz/motors/used-cars/holden/auction-2156880650.htm?rsqid=5944f9b07d994274bd160adcc32abd62-001,"4 owners, NZ New",2986.0,9000.0, Bay of Plenty,Whakatane
134946.0,"White, 4 door, Ute",,Diesel,Manual,XL DoubleCab,"Manukau, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/ford/auction-2148356255.htm?rsqid=dfcacf56cbf54a1da46ab9fd1b25b143-001,,3200.0,24990.0, Auckland,Manukau
40000.0,"Silver, 4 door, Sedan",5.0,Petrol,Automatic,,"Hamilton, Waikato, NZ",https://www.trademe.co.nz/motors/used-cars/hyundai/auction-2151105843.htm?rsqid=205c5e3ddf5f473982ed7781738b2188-001,"2 owners, NZ New",1998.0,23000.0, Waikato,Hamilton
66567.0,"Brown, 5 door, Hatchback",5.0,Petrol,Automatic,"1.5 vvti camchain, low ks","Manukau, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/toyota/auction-2147592415.htm?rsqid=107e8d86b90447828a22f82611b7eb1c-001,,1500.0,6420.0, Auckland,Manukau
72000.0,"Grey, Hatchback",5.0,Petrol,Automatic,VTI Automatic Hatch,"""Hastings, Hawkes Bay, NZ""",https://www.trademe.co.nz/motors/used-cars/citroen/auction-2148886185.htm?rsqid=dfcacf56cbf54a1da46ab9fd1b25b143-001,,1598.0,10990.0, Hawkes Bay,"""Hastings"
